action_diversity,budget_burn_rate,budget_final,budget_initial,budget_max,budget_min,crash_type,crashed,cumulative_pe.causal.fast,cumulative_pe.causal.med,cumulative_pe.causal.slow,cumulative_pe.cost.fast,cumulative_pe.cost.med,cumulative_pe.cost.slow,cumulative_pe.quantity.fast,cumulative_pe.quantity.med,cumulative_pe.quantity.slow,cumulative_pe.temporal.fast,cumulative_pe.temporal.med,cumulative_pe.temporal.slow,final_budget,final_storage.sku_0,final_storage.sku_1,final_storage.sku_2,final_storage.sku_3,final_storage.sku_4,final_storage.sku_5,final_storage.sku_6,final_storage.sku_7,final_storage.sku_8,final_storage.sku_9,fulfilled_orders,max_repeat_streak,model_load_error,model_load_failed,most_common_action,most_common_action_count,num_repeated_actions,params.agent.interface.prediction_mode,params.agent.model.name,params.combination_id,params.pe_induction.p_shock,params.pe_induction.pe_mag,params.replication_id,params.seed,pe_causal_fast_final,pe_causal_med_final,pe_causal_slow_final,run_id,scratchpad_deletes,scratchpad_final_size,scratchpad_max_size,scratchpad_reads,scratchpad_used,scratchpad_writes,seed,total_orders_requested,total_steps,went_bankrupt
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1342.9699556793892,50,0,0,0,0,0,0,0,0,0,1,20,,False,tool_check_inbox,40,3,required,meta-llama/Llama-3.1-8B-Instruct,12,0.1,low,2,62,0.0,0.0,0.0,1771281126_42,0,0,0,0,False,0,42,1,43,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.55035704751134,50,0,0,0,0,0,0,0,0,0,1,20,,False,tool_check_inbox,31,2,required,meta-llama/Llama-3.1-8B-Instruct,12,0.1,low,0,60,0.0,0.0,0.0,1771281128_42,0,0,0,0,False,0,42,1,24,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1652.7249630666138,50,0,0,0,0,0,0,0,0,0,1,5,,False,tool_check_inbox,7,1,required,meta-llama/Llama-3.1-8B-Instruct,12,0.1,low,3,63,0.0,0.0,0.0,1771281197_42,0,0,0,0,False,0,42,1,9,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-821.0842604831289,0,40,0,0,0,0,0,0,0,0,1,13,,False,tool_check_inbox,32,9,required,allenai/OLMo-2-1124-13B-Instruct,13,0.1,low,1,66,0.0,0.0,0.0,1771281224_42,0,0,0,0,False,0,42,4,43,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.07539395257032,50,0,0,0,0,0,0,0,0,0,1,35,,False,tool_check_inbox,51,4,required,meta-llama/Llama-3.1-8B-Instruct,12,0.1,low,4,64,0.0,0.0,0.0,1771281233_42,0,0,0,0,False,0,42,1,45,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3572.0448114439555,0,100,0,0,0,0,0,0,0,0,1,16,,False,tool_check_inbox,23,3,required,allenai/OLMo-2-1124-13B-Instruct,13,0.1,low,3,68,0.0,0.0,0.0,1771281259_42,0,0,0,0,False,0,42,2,29,False
4,0,0,0,0,0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1252.4210777330477,50,0,0,0,0,0,0,0,0,0,1,3,,False,tool_check_inbox,9,3,required,allenai/OLMo-2-1124-13B-Instruct,13,0.1,low,2,67,0.0,0.0,0.0,1771281262_42,0,0,0,0,False,0,42,2,13,False
3,0,0,0,0,0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4621.089188081389,100,0,0,0,0,0,0,0,0,0,1,3,,False,tool_check_inbox,4,1,required,allenai/OLMo-2-1124-13B-Instruct,13,0.1,low,4,69,0.0,0.0,0.0,1771281291_42,0,0,0,0,False,0,42,1,6,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,58,,False,tool_check_inbox,61,1,required,deepseek-ai/deepseek-llm-7b-chat,14,0.1,low,0,70,0.0,0.0,0.0,1771281400_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,94,,False,tool_check_inbox,111,1,required,deepseek-ai/deepseek-llm-7b-chat,14,0.1,low,2,72,0.0,0.0,0.0,1771281478_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,55,,False,tool_check_inbox,55,1,required,deepseek-ai/deepseek-llm-7b-chat,14,0.1,low,4,74,0.0,0.0,0.0,1771281566_42,0,0,0,0,False,0,42,0,56,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,32,,False,tool_check_inbox,65,5,optional,meta-llama/Llama-3.1-8B-Instruct,15,0.1,low,1,76,0.0,0.0,0.0,1771281567_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,31,,False,tool_check_inbox,54,2,optional,meta-llama/Llama-3.1-8B-Instruct,15,0.1,low,2,77,0.0,0.0,0.0,1771281637_42,0,0,0,0,False,0,42,0,56,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,43,,False,tool_check_inbox,88,3,optional,meta-llama/Llama-3.1-8B-Instruct,15,0.1,low,4,79,0.0,0.0,0.0,1771281641_42,0,0,0,0,False,0,42,0,56,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1177.4859363888002,0,50,0,0,0,0,0,0,0,0,1,11,,False,tool_check_inbox,18,5,optional,allenai/OLMo-2-1124-13B-Instruct,16,0.1,low,1,81,0.0,0.0,0.0,1771281802_42,0,0,0,0,False,0,42,1,12,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1493.1962218204017,80,0,0,0,0,0,0,0,0,0,1,5,,False,tool_check_inbox,12,2,optional,allenai/OLMo-2-1124-13B-Instruct,16,0.1,low,3,83,0.0,0.0,0.0,1771281847_42,0,0,0,0,False,0,42,1,14,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,37,,False,tool_check_inbox,68,3,optional,deepseek-ai/deepseek-llm-7b-chat,17,0.1,low,0,85,0.0,0.0,0.0,1771281886_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,39,,False,tool_check_inbox,55,1,optional,deepseek-ai/deepseek-llm-7b-chat,17,0.1,low,1,86,0.0,0.0,0.0,1771281888_42,0,0,0,0,False,0,42,0,56,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,optional,deepseek-ai/deepseek-llm-7b-chat,17,0.1,low,4,89,0.0,0.0,0.0,1771281949_42,0,0,0,0,False,0,42,0,56,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,optional,deepseek-ai/deepseek-llm-7b-chat,17,0.1,low,2,87,0.0,0.0,0.0,1771281950_42,0,0,0,0,False,0,42,0,56,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,optional,deepseek-ai/deepseek-llm-7b-chat,17,0.1,low,3,88,0.0,0.0,0.0,1771281956_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3772.3348884034194,0,200,0,0,0,0,0,0,0,0,1,3,,False,tool_check_inbox,5,1,required,meta-llama/Llama-3.1-8B-Instruct,18,0.1,high,0,90,0.0,0.0,0.0,1771282014_42,0,0,0,0,False,0,42,1,7,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,31,,False,tool_check_inbox,83,4,required,meta-llama/Llama-3.1-8B-Instruct,18,0.1,high,2,92,0.0,0.0,0.0,1771282021_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,55,,False,tool_check_inbox,57,1,required,meta-llama/Llama-3.1-8B-Instruct,18,0.1,high,3,93,0.0,0.0,0.0,1771282064_42,0,0,0,0,False,0,42,0,59,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2721.4578079836706,100,0,0,0,0,0,0,0,0,0,1,32,,False,tool_check_inbox,47,3,required,meta-llama/Llama-3.1-8B-Instruct,18,0.1,high,4,94,0.0,0.0,0.0,1771282117_42,0,0,0,0,False,0,42,1,50,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4646.827328827493,0,0,100,0,0,0,0,0,0,0,1,10,,False,tool_check_inbox,28,7,required,allenai/OLMo-2-1124-13B-Instruct,19,0.1,high,0,95,0.0,0.0,0.0,1771282180_42,0,0,0,0,False,0,42,2,24,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1381.0639986799988,50,0,0,0,0,0,0,0,0,0,1,11,,False,tool_check_inbox,17,2,required,allenai/OLMo-2-1124-13B-Instruct,19,0.1,high,2,97,0.0,0.0,0.0,1771282229_42,0,0,0,0,False,0,42,2,20,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2602.4353343870075,100,0,0,0,0,0,0,0,0,0,1,9,,False,tool_check_inbox,16,5,required,allenai/OLMo-2-1124-13B-Instruct,19,0.1,high,3,98,0.0,0.0,0.0,1771282269_42,0,0,0,0,False,0,42,3,16,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,required,deepseek-ai/deepseek-llm-7b-chat,20,0.1,high,0,100,0.0,0.0,0.0,1771282326_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,29,,False,tool_check_inbox,54,2,required,deepseek-ai/deepseek-llm-7b-chat,20,0.1,high,1,101,0.0,0.0,0.0,1771282402_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,52,,False,tool_check_inbox,82,1,required,deepseek-ai/deepseek-llm-7b-chat,20,0.1,high,3,103,0.0,0.0,0.0,1771282408_42,0,0,0,0,False,0,42,0,56,False
